Date,Fajr Adhaan,Fajr Iqamah,Sunrise,Dhuhr Adhaan,Dhuhr Iqamah,Asr Adhaan,Asr Iqamah,Maghrib Adhaan,Maghrib Iqamah,Isha Adhaan,Isha Iqamah
01 August 2025,04:22 AM,05:00 AM,05:52 AM,01:02 PM,01:15 PM,06:04 PM,06:15 PM,08:11 PM,08:16 PM,09:40 PM,09:45 PM
02 August 2025,04:24 AM,05:00 AM,05:53 AM,01:02 PM,01:15 PM,06:03 PM,06:15 PM,08:10 PM,08:15 PM,09:39 PM,09:45 PM
03 August 2025,04:25 AM,05:00 AM,05:54 AM,01:02 PM,01:15 PM,06:02 PM,06:15 PM,08:09 PM,08:14 PM,09:37 PM,09:45 PM
04 August 2025,04:26 AM,05:00 AM,05:55 AM,01:01 PM,01:15 PM,06:01 PM,06:15 PM,08:08 PM,08:13 PM,09:36 PM,09:45 PM
05 August 2025,04:28 AM,05:00 AM,05:56 AM,01:01 PM,01:15 PM,06:01 PM,06:15 PM,08:06 PM,08:11 PM,09:34 PM,09:45 PM
06 August 2025,04:29 AM,05:00 AM,05:57 AM,01:01 PM,01:15 PM,06:00 PM,06:15 PM,08:05 PM,08:10 PM,09:32 PM,09:45 PM
07 August 2025,04:31 AM,05:00 AM,05:58 AM,01:01 PM,01:15 PM,05:59 PM,06:15 PM,08:04 PM,08:09 PM,09:31 PM,09:45 PM
08 August 2025,04:32 AM,05:00 AM,05:59 AM,01:01 PM,01:15 PM,05:58 PM,06:15 PM,08:03 PM,08:08 PM,09:29 PM,09:45 PM
09 August 2025,04:33 AM,05:00 AM,06:00 AM,01:01 PM,01:15 PM,05:58 PM,06:15 PM,08:01 PM,08:06 PM,09:28 PM,09:45 PM
10 August 2025,04:35 AM,05:00 AM,06:01 AM,01:01 PM,01:15 PM,05:57 PM,06:15 PM,08:00 PM,08:05 PM,09:26 PM,09:45 PM
11 August 2025,04:36 AM,05:15 AM,06:02 AM,01:00 PM,01:15 PM,05:56 PM,06:00 PM,07:59 PM,08:04 PM,09:24 PM,09:30 PM
12 August 2025,04:37 AM,05:15 AM,06:03 AM,01:00 PM,01:15 PM,05:55 PM,06:00 PM,07:57 PM,08:02 PM,09:22 PM,09:30 PM
13 August 2025,04:39 AM,05:15 AM,06:04 AM,01:00 PM,01:15 PM,05:54 PM,06:00 PM,07:56 PM,08:01 PM,09:21 PM,09:30 PM
14 August 2025,04:40 AM,05:15 AM,06:05 AM,01:00 PM,01:15 PM,05:53 PM,06:00 PM,07:55 PM,08:00 PM,09:19 PM,09:30 PM
15 August 2025,04:41 AM,05:15 AM,06:06 AM,01:00 PM,01:15 PM,05:52 PM,06:00 PM,07:53 PM,07:58 PM,09:17 PM,09:30 PM
16 August 2025,04:43 AM,05:15 AM,06:07 AM,01:00 PM,01:15 PM,05:51 PM,06:00 PM,07:52 PM,07:57 PM,09:16 PM,09:30 PM
17 August 2025,04:44 AM,05:15 AM,06:08 AM,12:59 PM,01:15 PM,05:50 PM,06:00 PM,07:51 PM,07:56 PM,09:14 PM,09:30 PM
18 August 2025,04:45 AM,05:15 AM,06:09 AM,12:59 PM,01:15 PM,05:49 PM,06:00 PM,07:49 PM,07:54 PM,09:12 PM,09:30 PM
19 August 2025,04:47 AM,05:15 AM,06:10 AM,12:59 PM,01:15 PM,05:48 PM,06:00 PM,07:48 PM,07:53 PM,09:10 PM,09:30 PM
20 August 2025,04:48 AM,05:15 AM,06:11 AM,12:59 PM,01:15 PM,05:47 PM,06:00 PM,07:46 PM,07:51 PM,09:08 PM,09:30 PM
21 August 2025,04:49 AM,05:15 AM,06:12 AM,12:58 PM,01:15 PM,05:46 PM,06:00 PM,07:45 PM,07:50 PM,09:07 PM,09:15 PM
22 August 2025,04:51 AM,05:15 AM,06:13 AM,12:58 PM,01:15 PM,05:45 PM,06:00 PM,07:43 PM,07:48 PM,09:05 PM,09:15 PM
23 August 2025,04:52 AM,05:15 AM,06:14 AM,12:58 PM,01:15 PM,05:44 PM,06:00 PM,07:42 PM,07:47 PM,09:03 PM,09:15 PM
24 August 2025,04:53 AM,05:15 AM,06:15 AM,12:58 PM,01:15 PM,05:43 PM,06:00 PM,07:40 PM,07:45 PM,09:01 PM,09:15 PM
25 August 2025,04:54 AM,05:15 AM,06:15 AM,12:57 PM,01:15 PM,05:42 PM,06:00 PM,07:38 PM,07:43 PM,08:59 PM,09:15 PM
26 August 2025,04:56 AM,05:15 AM,06:16 AM,12:57 PM,01:15 PM,05:40 PM,06:00 PM,07:37 PM,07:42 PM,08:58 PM,09:15 PM
27 August 2025,04:57 AM,05:15 AM,06:17 AM,12:57 PM,01:15 PM,05:39 PM,06:00 PM,07:35 PM,07:40 PM,08:56 PM,09:15 PM
28 August 2025,04:58 AM,05:15 AM,06:18 AM,12:56 PM,01:15 PM,05:38 PM,06:00 PM,07:34 PM,07:39 PM,08:54 PM,09:15 PM
29 August 2025,04:59 AM,05:15 AM,06:19 AM,12:56 PM,01:15 PM,05:37 PM,06:00 PM,07:32 PM,07:37 PM,08:52 PM,09:15 PM
30 August 2025,05:01 AM,05:15 AM,06:20 AM,12:56 PM,01:15 PM,05:36 PM,06:00 PM,07:31 PM,07:36 PM,08:50 PM,09:15 PM
31 August 2025,05:02 AM,05:15 AM,06:21 AM,12:56 PM,01:15 PM,05:34 PM,06:00 PM,07:29 PM,07:34 PM,08:48 PM,09:15 PM
