Date,Fajr Adhaan,Fajr Iqamah,Sunrise,Dhuhr Adhaan,Dhuhr Iqamah,Asr Adhaan,Asr Iqamah,Maghrib Adhaan,Maghrib Iqamah,Isha Adhaan,Isha Iqamah
01 June 2025,03:48 AM,04:15 AM,05:25 AM,12:53 PM,01:15 PM,06:05 PM,06:15 PM,08:21 PM,08:26 PM,09:59 PM,10:15 PM
02 June 2025,03:47 AM,04:15 AM,05:25 AM,12:53 PM,01:15 PM,06:06 PM,06:15 PM,08:22 PM,08:27 PM,10:00 PM,10:15 PM
03 June 2025,03:47 AM,04:15 AM,05:25 AM,12:54 PM,01:15 PM,06:06 PM,06:15 PM,08:23 PM,08:28 PM,10:01 PM,10:15 PM
04 June 2025,03:46 AM,04:15 AM,05:24 AM,12:54 PM,01:15 PM,06:07 PM,06:15 PM,08:23 PM,08:28 PM,10:02 PM,10:15 PM
05 June 2025,03:46 AM,04:15 AM,05:24 AM,12:54 PM,01:15 PM,06:07 PM,06:15 PM,08:24 PM,08:29 PM,10:03 PM,10:15 PM
06 June 2025,03:45 AM,04:15 AM,05:24 AM,12:54 PM,01:15 PM,06:07 PM,06:15 PM,08:25 PM,08:30 PM,10:04 PM,10:15 PM
07 June 2025,03:45 AM,04:15 AM,05:24 AM,12:54 PM,01:15 PM,06:08 PM,06:15 PM,08:25 PM,08:30 PM,10:04 PM,10:15 PM
08 June 2025,03:44 AM,04:15 AM,05:23 AM,12:55 PM,01:15 PM,06:08 PM,06:15 PM,08:26 PM,08:31 PM,10:05 PM,10:15 PM
09 June 2025,03:44 AM,04:15 AM,05:23 AM,12:55 PM,01:15 PM,06:09 PM,06:15 PM,08:26 PM,08:31 PM,10:06 PM,10:15 PM
10 June 2025,03:43 AM,04:15 AM,05:23 AM,12:55 PM,01:15 PM,06:09 PM,06:15 PM,08:27 PM,08:32 PM,10:07 PM,10:15 PM
11 June 2025,03:43 AM,04:15 AM,05:23 AM,12:55 PM,01:15 PM,06:09 PM,06:15 PM,08:27 PM,08:32 PM,10:07 PM,10:15 PM
12 June 2025,03:43 AM,04:15 AM,05:23 AM,12:55 PM,01:15 PM,06:10 PM,06:15 PM,08:28 PM,08:33 PM,10:08 PM,10:15 PM
13 June 2025,03:43 AM,04:15 AM,05:23 AM,12:56 PM,01:15 PM,06:10 PM,06:15 PM,08:28 PM,08:33 PM,10:09 PM,10:15 PM
14 June 2025,03:43 AM,04:15 AM,05:23 AM,12:56 PM,01:15 PM,06:10 PM,06:15 PM,08:29 PM,08:34 PM,10:09 PM,10:15 PM
15 June 2025,03:42 AM,04:15 AM,05:23 AM,12:56 PM,01:15 PM,06:11 PM,06:15 PM,08:29 PM,08:34 PM,10:10 PM,10:15 PM
16 June 2025,03:42 AM,04:15 AM,05:23 AM,12:56 PM,01:15 PM,06:11 PM,06:15 PM,08:30 PM,08:35 PM,10:10 PM,10:15 PM
17 June 2025,03:42 AM,04:15 AM,05:23 AM,12:56 PM,01:15 PM,06:11 PM,06:15 PM,08:30 PM,08:35 PM,10:10 PM,10:15 PM
18 June 2025,03:42 AM,04:15 AM,05:23 AM,12:57 PM,01:15 PM,06:11 PM,06:15 PM,08:30 PM,08:35 PM,10:11 PM,10:15 PM
19 June 2025,03:43 AM,04:15 AM,05:23 AM,12:57 PM,01:15 PM,06:12 PM,06:15 PM,08:30 PM,08:35 PM,10:11 PM,10:15 PM
20 June 2025,03:43 AM,04:15 AM,05:23 AM,12:57 PM,01:15 PM,06:12 PM,06:15 PM,08:31 PM,08:36 PM,10:11 PM,10:15 PM
21 June 2025,03:43 AM,04:15 AM,05:24 AM,12:57 PM,01:15 PM,06:12 PM,06:15 PM,08:31 PM,08:36 PM,10:12 PM,10:15 PM
22 June 2025,03:43 AM,04:15 AM,05:24 AM,12:57 PM,01:15 PM,06:12 PM,06:15 PM,08:31 PM,08:36 PM,10:12 PM,10:15 PM
23 June 2025,03:43 AM,04:15 AM,05:24 AM,12:58 PM,01:15 PM,06:12 PM,06:15 PM,08:31 PM,08:36 PM,10:12 PM,10:15 PM
24 June 2025,03:44 AM,04:15 AM,05:24 AM,12:58 PM,01:15 PM,06:13 PM,06:15 PM,08:31 PM,08:36 PM,10:12 PM,10:15 PM
25 June 2025,03:44 AM,04:15 AM,05:25 AM,12:58 PM,01:15 PM,06:13 PM,06:15 PM,08:31 PM,08:36 PM,10:12 PM,10:15 PM
26 June 2025,03:45 AM,04:15 AM,05:25 AM,12:58 PM,01:15 PM,06:13 PM,06:15 PM,08:31 PM,08:36 PM,10:12 PM,10:15 PM
27 June 2025,03:45 AM,04:15 AM,05:25 AM,12:59 PM,01:15 PM,06:13 PM,06:15 PM,08:31 PM,08:36 PM,10:12 PM,10:15 PM
28 June 2025,03:46 AM,04:15 AM,05:26 AM,12:59 PM,01:15 PM,06:13 PM,06:15 PM,08:31 PM,08:36 PM,10:12 PM,10:15 PM
29 June 2025,03:46 AM,04:15 AM,05:26 AM,12:59 PM,01:15 PM,06:13 PM,06:15 PM,08:31 PM,08:36 PM,10:11 PM,10:15 PM
30 June 2025,03:47 AM,04:15 AM,05:27 AM,12:59 PM,01:15 PM,06:13 PM,06:15 PM,08:31 PM,08:36 PM,10:11 PM,10:15 PM
