Date,Fajr Adhaan,Fajr Iqamah,Sunrise,Dhuhr Adhaan,Dhuhr Iqamah,Asr Adhaan,Asr Iqamah,Maghrib Adhaan,Maghrib Iqamah,Isha Adhaan,Isha Iqamah
01 July 2025,03:48 AM,04:15 AM,05:27 AM,12:59 PM,01:15 PM,06:13 PM,06:15 PM,08:31 PM,08:36 PM,10:11 PM,10:15 PM
02 July 2025,03:48 AM,04:15 AM,05:28 AM,01:00 PM,01:15 PM,06:13 PM,06:15 PM,08:31 PM,08:36 PM,10:10 PM,10:15 PM
03 July 2025,03:49 AM,04:15 AM,05:28 AM,01:00 PM,01:15 PM,06:13 PM,06:15 PM,08:31 PM,08:36 PM,10:10 PM,10:15 PM
04 July 2025,03:50 AM,04:15 AM,05:29 AM,01:00 PM,01:15 PM,06:13 PM,06:15 PM,08:31 PM,08:36 PM,10:10 PM,10:15 PM
05 July 2025,03:51 AM,04:15 AM,05:30 AM,01:00 PM,01:15 PM,06:13 PM,06:15 PM,08:30 PM,08:35 PM,10:09 PM,10:15 PM
06 July 2025,03:52 AM,04:15 AM,05:30 AM,01:00 PM,01:15 PM,06:13 PM,06:15 PM,08:30 PM,08:35 PM,10:09 PM,10:15 PM
07 July 2025,03:52 AM,04:15 AM,05:31 AM,01:00 PM,01:15 PM,06:13 PM,06:15 PM,08:30 PM,08:35 PM,10:08 PM,10:15 PM
08 July 2025,03:53 AM,04:15 AM,05:31 AM,01:01 PM,01:15 PM,06:13 PM,06:15 PM,08:29 PM,08:34 PM,10:07 PM,10:15 PM
09 July 2025,03:54 AM,04:15 AM,05:32 AM,01:01 PM,01:15 PM,06:13 PM,06:15 PM,08:29 PM,08:34 PM,10:07 PM,10:15 PM
10 July 2025,03:55 AM,04:15 AM,05:33 AM,01:01 PM,01:15 PM,06:13 PM,06:15 PM,08:29 PM,08:34 PM,10:06 PM,10:15 PM
11 July 2025,03:56 AM,04:30 AM,05:34 AM,01:01 PM,01:15 PM,06:12 PM,06:15 PM,08:28 PM,08:33 PM,10:05 PM,10:15 PM
12 July 2025,03:57 AM,04:30 AM,5:34 AM,01:01 PM,01:15 PM,06:12 PM,06:15 PM,08:28 PM,08:33 PM,10:04 PM,10:15 PM
13 July 2025,03:58 AM,04:30 AM,05:35 AM,01:01 PM,01:15 PM,06:12 PM,06:15 PM,08:27 PM,08:32 PM,10:03 PM,10:15 PM
14 July 2025,04:00 AM,04:30 AM,05:36 AM,01:01 PM,01:15 PM,06:12 PM,06:15 PM,08:26 PM,08:31 PM,10:02 PM,10:15 PM
15 July 2025,04:01 AM,04:30 AM,05:37 AM,01:01 PM,01:15 PM,06:12 PM,06:15 PM,08:26 PM,08:31 PM,10:02 PM,10:15 PM
16 July 2025,04:02 AM,04:30 AM,05:37 AM,01:01 PM,01:15 PM,06:11 PM,06:15 PM,08:25 PM,08:30 PM,10:01 PM,10:15 PM
17 July 2025,04:03 AM,04:30 AM,05:38 AM,01:02 PM,01:15 PM,06:11 PM,06:15 PM,08:25 PM,08:30 PM,10:00 PM,10:15 PM
18 July 2025,04:04 AM,04:30 AM,05:39 AM,01:02 PM,01:15 PM,06:11 PM,06:15 PM,08:24 PM,08:29 PM,09:58 PM,10:15 PM
19 July 2025,04:05 AM,04:30 AM,05:40 AM,01:02 PM,01:15 PM,06:10 PM,06:15 PM,08:23 PM,08:28 PM,09:57 PM,10:15 PM
20 July 2025,04:07 AM,04:30 AM,05:41 AM,01:02 PM,01:15 PM,06:10 PM,06:15 PM,08:22 PM,08:27 PM,09:56 PM,10:15 PM
21 July 2025,04:08 AM,04:45 AM,05:42 AM,01:02 PM,01:15 PM,06:10 PM,06:15 PM,08:22 PM,08:27 PM,09:55 PM,10:00 PM
22 July 2025,04:09 AM,04:45 AM,05:42 AM,01:02 PM,01:15 PM,06:09 PM,06:15 PM,08:21 PM,08:26 PM,09:54 PM,10:00 PM
23 July 2025,04:10 AM,04:45 AM,05:43 AM,01:02 PM,01:15 PM,06:09 PM,06:15 PM,08:20 PM,08:25 PM,09:53 PM,10:00 PM
24 July 2025,04:12 AM,04:45 AM,05:44 AM,01:02 PM,01:15 PM,06:08 PM,06:15 PM,08:19 PM,08:24 PM,09:51 PM,10:00 PM
25 July 2025,04:13 AM,04:45 AM,05:45 AM,01:02 PM,01:15 PM,06:08 PM,06:15 PM,08:18 PM,08:23 PM,09:50 PM,10:00 PM
26 July 2025,04:14 AM,04:45 AM,05:46 AM,01:02 PM,01:15 PM,06:07 PM,06:15 PM,08:17 PM,08:22 PM,09:49 PM,10:00 PM
27 July 2025,04:16 AM,04:45 AM,05:47 AM,01:02 PM,01:15 PM,06:07 PM,06:15 PM,08:16 PM,08:21 PM,09:47 PM,10:00 PM
28 July 2025,04:17 AM,04:45 AM,05:48 AM,01:02 PM,01:15 PM,06:06 PM,06:15 PM,08:15 PM,08:20 PM,09:46 PM,10:00 PM
29 July 2025,04:18 AM,04:45 AM,05:49 AM,01:02 PM,01:15 PM,06:05 PM,06:15 PM,08:14 PM,08:19 PM,09:45 PM,10:00 PM
30 July 2025,04:20 AM,04:45 AM,05:50 AM,01:02 PM,01:15 PM,06:05 PM,06:15 PM,08:13 PM,08:18 PM,09:43 PM,10:00 PM
31 July 2025,04:21 AM,04:45 AM,05:51 AM,01:02 PM,01:15 PM,06:04 PM,06:15 PM,08:12 PM,08:17 PM,09:42 PM,10:00 PM
