November,Rabi-I,Day,Fajr Adhaan,Sunrise,Dhuhr Adhaan,Asr 1,Asr 2,Maghrib,Isha
1,28,Friday,6:10,7:27,12:39,3:28,4:10,5:50,7:08
2,29,Saturday,6:11,7:28,12:39,3:27,4:09,5:49,7:07
3,1,Sunday,5:12,6:29,11:39,2:25,3:07,4:48,6:06
4,2,Monday,5:13,6:30,11:39,2:24,3:06,4:47,6:05
5,3,Tuesday,5:14,6:31,11:39,2:24,3:05,4:46,6:04
6,4,Wednesday,5:15,6:33,11:39,2:23,3:04,4:45,6:03
7,5,Thursday,5:16,6:34,11:39,2:22,3:03,4:44,6:02
8,6,Friday,5:17,6:35,11:39,2:21,3:02,4:43,6:01
9,7,Saturday,5:18,6:36,11:39,2:20,3:01,4:42,6:00
10,8,Sunday,5:19,6:37,11:39,2:19,3:00,4:41,5:59
11,9,Monday,5:20,6:39,11:39,2:19,2:59,4:40,5:58
12,10,Tuesday,5:21,6:40,11:40,2:18,2:58,4:39,5:58
13,11,Wednesday,5:22,6:41,11:40,2:17,2:57,4:38,5:57
14,12,Thursday,5:23,6:42,11:40,2:17,2:56,4:37,5:56
15,13,Friday,5:24,6:43,11:40,2:16,2:56,4:36,5:55
16,14,Saturday,5:25,6:45,11:40,2:15,2:55,4:35,5:55
17,15,Sunday,5:26,6:46,11:40,2:15,2:54,4:35,5:54
18,16,Monday,5:27,6:47,11:41,2:14,2:53,4:34,5:54
19,17,Tuesday,5:28,6:48,11:41,2:14,2:53,4:33,5:53
20,18,Wednesday,5:29,6:49,11:41,2:13,2:52,4:33,5:53
21,19,Thursday,5:30,6:50,11:41,2:13,2:52,4:32,5:52
22,20,Friday,5:31,6:51,11:42,2:12,2:51,4:31,5:52
23,21,Saturday,5:32,6:53,11:42,2:12,2:50,4:31,5:51
24,22,Sunday,5:33,6:54,11:42,2:11,2:50,4:30,5:51
25,23,Monday,5:34,6:55,11:43,2:11,2:49,4:30,5:50
26,24,Tuesday,5:35,6:56,11:43,2:11,2:49,4:29,5:50
27,25,Wednesday,5:36,6:57,11:43,2:10,2:49,4:29,5:50
28,26,Thursday,5:37,6:58,11:44,2:10,2:48,4:29,5:50
29,27,Friday,5:38,6:59,11:44,2:10,2:48,4:28,5:49
30,28,Saturday,5:39,7:00,11:44,2:10,2:48,4:28,5:50
